ID_Cliente;Segmento;Regiao;Pais;ID_Produto;Categoria;Quantidade_Produtos;Valor_Venda
RH-19495;Consumidor;New York;United States;TEC-AC-10003033;Tecnologia;7;2309,65
JR-16210;Corporativo;New South Wales;Australia;FUR-CH-10003950;Moveis;9;3709,395
CR-12730;Consumidor;Queensland;Australia;TEC-PH-10004664;Tecnologia;9;5175,171
KM-16375;Home Office;Berlin;Germany;TEC-PH-10004583;Tecnologia;5;2892,51
RH-9495;Consumidor;Dakar;Senegal;TEC-SHA-10000501;Tecnologia;8;2832,96
JM-15655;Corporativo;New South Wales;Australia;TEC-PH-10000030;Tecnologia;5;2862,675
TS-21340;Consumidor;Wellington;New Zealand;FUR-CH-10004050;Moveis;4;1822,08
MB-18085;Consumidor;Waikato;New Zealand;FUR-TA-10002958;Moveis;6;5244,84
JW-15220;Corporativo;California;United States;OFF-BI-10003527;Suprimentos;5;5083,96
JH-15985;Consumidor;North Carolina;United States;FUR-TA-10000198;Moveis;13;4297,644
GM-14695;Corporativo;Virginia;United States;OFF-SU-10002881;Suprimentos;5;4164,05
AJ-10780;Corporativo;Kabul;Afghanistan;FUR-TA-10001889;Moveis;5;4626,15
MM-7260;Consumidor;Jizan;Saudi Arabia;TEC-CIS-10001717;Tecnologia;4;2616,96
VF-21715;Home Office;Parana;Brazil;FUR-CH-10002033;Moveis;7;2221,8
PF-19120;Consumidor;Heilongjiang;China;OFF-AP-10003500;Suprimentos;12;3701,52
BP-11185;Corporativo;Ile-de-France;France;OFF-AP-10000423;Suprimentos;4;1869,588
TB-21175;Corporativo;Kentucky;United States;TEC-AC-10004145;Tecnologia;9;2249,91
PJ-18835;Corporativo;Tuscany;Italy;OFF-AP-10004512;Suprimentos;14;7958,58
JS-15685;Corporativo;Queensland;Australia;TEC-CO-10000865;Tecnologia;9;2565,594
RH-9555;Consumidor;Kigoma;Tanzania;OFF-KIT-10004058;Suprimentos;6;3409,74
AB-600;Corporativo;Silesia;Poland;FUR-HON-10000224;Moveis;4;1977,72
SA-20830;Consumidor;Illinois;United States;TEC-PH-10001363;Tecnologia;6;2735,952
JK-15325;Corporativo;Anhui;China;FUR-CH-10000027;Moveis;6;2754
LB-16795;Home Office;Scotland;United Kingdom;OFF-AP-10003590;Suprimentos;10;5273,7
NP-18325;Consumidor;Chihuahua;Mexico;TEC-PH-10004182;Tecnologia;4;1713,84
VD-21670;Consumidor;San Salvador;El Salvador;FUR-TA-10002827;Moveis;8;2106,496
PB-19210;Corporativo;Taipei City;Taiwan;FUR-TA-10004744;Moveis;2;1715,16
EB-14110;Consumidor;Saxony;Germany;OFF-AP-10004512;Suprimentos;6;3069,738
KF-16285;Home Office;California;United States;TEC-PH-10002885;Tecnologia;8;4158,912
BP-11230;Consumidor;Gujarat;India;FUR-CH-10001415;Moveis;4;1878,72
RR-19525;Corporativo;Santo Domingo;Dominican Republic;TEC-PH-10002815;Tecnologia;5;1696,64
BS-11365;Corporativo;Brittany;France;TEC-MA-10000161;Tecnologia;9;2402,865
JE-15745;Consumidor;Texas;United States;FUR-CH-10002024;Moveis;5;2453,43
DP-13105;Corporativo;Queensland;Australia;OFF-AP-10004246;Suprimentos;5;2526,93
NP-18700;Consumidor;California;United States;FUR-TA-10003473;Moveis;12;3610,848
AH-30;Corporativo;Katanga;Democratic Republic of the Congo;TEC-APP-10000308;Tecnologia;6;3817,26
DM-13015;Consumidor;New York;United States;TEC-MA-10003979;Tecnologia;4;2799,96
GT-14635;Corporativo;North Carolina;United States;TEC-MA-10004125;Tecnologia;4;7999,98
PO-18865;Consumidor;England;United Kingdom;TEC-CO-10000013;Tecnologia;13;4141,02
DL-12865;Consumidor;Queensland;Australia;TEC-PH-10004664;Tecnologia;5;2875,095
JB-16000;Consumidor;Nusa Tenggara Barat;Indonesia;TEC-PH-10000499;Tecnologia;6;3200,5962
BF-11005;Home Office;Haryana;India;TEC-PH-10003856;Tecnologia;7;4518,78
VG-21805;Corporativo;Kerala;India;FUR-BO-10004852;Moveis;13;5667,87
GT-14710;Consumidor;England;United Kingdom;TEC-PH-10004583;Tecnologia;9;5785,02
ZC-21910;Consumidor;Berlin;Germany;OFF-AP-10000486;Suprimentos;7;3018,624
SC-20095;Consumidor;Minnesota;United States;OFF-BI-10001120;Suprimentos;5;9449,95
EB-13840;Corporativo;Ile-de-France;France;FUR-CH-10003365;Moveis;5;2092,5
AP-10915;Consumidor;Shandong;China;FUR-CH-10000602;Moveis;6;2761,2
SW-20275;Consumidor;Jharkhand;India;TEC-MA-10002680;Tecnologia;7;2174,13
JH-15820;Consumidor;Paysandú;Uruguay;FUR-CH-10000891;Moveis;11;3473,14
LC-16885;Consumidor;New York;United States;OFF-BI-10003527;Suprimentos;3;3050,376
TG-11640;Consumidor;Mazandaran;Iran;TEC-CAN-10003392;Tecnologia;8;2108,64
HR-14830;Corporativo;California;United States;TEC-CO-10001449;Tecnologia;5;2399,96
PB-19210;Corporativo;Taipei City;Taiwan;FUR-BO-10001372;Moveis;5;2197,5
DG-3300;Corporativo;Cidade De Maputo;Mozambique;TEC-MOT-10002272;Tecnologia;4;2582,16
SG-20470;Consumidor;Madhya Pradesh;India;TEC-CO-10004997;Tecnologia;4;1526,52
FH-14365;Corporativo;Washington;United States;TEC-CO-10001766;Tecnologia;7;3149,93
GP-14740;Corporativo;Delhi;India;FUR-TA-10000226;Moveis;2;1745,34
MW-18220;Consumidor;Western Australia;Australia;OFF-AP-10002244;Suprimentos;9;4191,507
PO-18850;Consumidor;Florida;United States;TEC-PH-10001459;Tecnologia;13;4367,896
CS-12460;Consumidor;Dhaka;Bangladesh;FUR-BO-10001073;Moveis;7;3063,27
KD-16495;Corporativo;New York;United States;TEC-MA-10000045;Tecnologia;4;4643,8
MS-17980;Corporativo;Lower Saxony;Germany;TEC-PH-10002035;Tecnologia;7;4473
KC-16675;Corporativo;Lower Saxony;Germany;TEC-PH-10002565;Tecnologia;9;1502,01
DB-13405;Consumidor;Jiangsu;China;FUR-CH-10000027;Moveis;11;5049
JD-15895;Corporativo;Virginia;United States;OFF-AP-10002945;Suprimentos;7;2104,55
DK-13090;Consumidor;Andalusía;Spain;FUR-BO-10004999;Moveis;5;2188,05
CS-11845;Corporativo;Uttarakhand;India;FUR-TA-10001205;Moveis;4;1920,36
EM-14200;Home Office;Durango;Mexico;TEC-PH-10004196;Tecnologia;4;1704
DW-3480;Home Office;Kharkiv;Ukraine;FUR-CHR-10001018;Moveis;4;1858,68
AS-10225;Corporativo;Shandong;China;FUR-CH-10003232;Moveis;7;3298,26
ST-20530;Consumidor;Chinandega;Nicaragua;OFF-AP-10001630;Suprimentos;13;2443,48
BW-1065;Consumidor;Kasai-Occidental;Democratic Republic of the Congo;FUR-HAR-10002873;Moveis;8;3808,8
LA-16780;Corporativo;Sumatera Selatan;Indonesia;FUR-TA-10000687;Moveis;7;3427,1496
AB-10150;Consumidor;England;United Kingdom;TEC-PH-10004505;Tecnologia;6;3441,69
JH-15820;Consumidor;Victoria;Australia;TEC-PH-10002683;Tecnologia;5;2863,35
CM-12385;Consumidor;Georgia;United States;OFF-BI-10003527;Suprimentos;5;6354,95
BE-11410;Consumidor;North Rhine-Westphalia;Germany;TEC-CO-10002269;Tecnologia;10;1487,4
SZ-20035;Home Office;Sichuan;China;TEC-CO-10002526;Tecnologia;9;3200,04
RM-19375;Consumidor;West Bengal;India;FUR-CH-10000602;Moveis;5;2301
HG-14845;Consumidor;Nord-Pas-de-Calais;France;FUR-CH-10002891;Moveis;14;5729,346
DP-3105;Corporativo;Meknès-Tafilalet;Morocco;TEC-CAN-10001437;Tecnologia;14;5301,24
AR-10540;Consumidor;Michigan;United States;OFF-BI-10004995;Suprimentos;4;5443,96
TP-21415;Consumidor;Pennsylvania;United States;FUR-CH-10002024;Moveis;9;4416,174
JB-16000;Consumidor;North Rhine-Westphalia;Germany;TEC-PH-10004327;Tecnologia;5;3219,9
AM-10705;Consumidor;Jawa Barat;Indonesia;OFF-AP-10001621;Suprimentos;6;2487,8088
AB-255;Home Office;Grand Casablanca;Morocco;OFF-HOO-10001881;Suprimentos;4;2266,44
RP-19270;Corporativo;New South Wales;Australia;TEC-CO-10001954;Tecnologia;9;3068,361
BK-11260;Consumidor;Dhaka;Bangladesh;FUR-BO-10003282;Moveis;9;3728,43
JM-15250;Consumidor;Anhui;China;TEC-CO-10003102;Tecnologia;6;1581,48
GP-14740;Corporativo;Delhi;India;TEC-PH-10004664;Tecnologia;3;1916,73
LW-16990;Corporativo;Nevada;United States;FUR-TA-10003392;Moveis;6;1685,88
NZ-18565;Home Office;Ile-de-France;France;OFF-AP-10002552;Suprimentos;5;2432,16
SV-10815;Corporativo;Quebec;Canada;TEC-MOT-10000554;Tecnologia;6;3863,88
SC-20695;Corporativo;National Capital;Philippines;FUR-CH-10001415;Moveis;7;2465,82
NC-18625;Corporativo;New South Wales;Australia;FUR-TA-10003627;Moveis;2;1847,52
NF-18385;Consumidor;Styria;Austria;FUR-BO-10001133;Moveis;7;2899,89
NZ-18565;Home Office;New South Wales;Australia;FUR-CH-10000027;Moveis;7;2891,7
PM-18940;Consumidor;Ile-de-France;France;TEC-MA-10003515;Tecnologia;9;2016,846
MZ-17335;Home Office;Ile-de-France;France;OFF-AP-10002904;Suprimentos;7;3155,544
HM-4980;Consumidor;Kinshasa;Democratic Republic of the Congo;TEC-MOT-10003348;Tecnologia;6;3856,14
RW-19540;Corporativo;Western Australia;Australia;TEC-PH-10001990;Tecnologia;6;3524,472
LH-17155;Consumidor;Aquitaine;France;TEC-PH-10002898;Tecnologia;4;2167,296
FH-14365;Corporativo;Puebla;Mexico;TEC-PH-10004196;Tecnologia;6;2556
KM-16660;Consumidor;Bavaria;Germany;TEC-CO-10001633;Tecnologia;5;1469,25
PO-18865;Consumidor;Provence-Alpes-Côte d'Azur;France;TEC-PH-10002623;Tecnologia;8;4448,832
AB-10060;Home Office;Washington;United States;FUR-TA-10004575;Moveis;7;2036,86
AB-10060;Home Office;Antioquia;Colombia;FUR-BO-10001498;Moveis;9;2472,66
DB-13060;Consumidor;Queensland;Australia;OFF-AP-10003598;Suprimentos;8;3739,176
